call	тефонный звонок, вызов, крик
calm	спокойный, мирный
calmly	спокойно, невозмутимо
can	мочь, быть в состоянии
cap	кепка
capital	столица
car	автомобиль, машина
card	карточка
care	забота, уход
careful	осторожный, внимательный
careless	беззаботный, небрежный
carry	носить
case	случай, чехол
catch	ловить, поймать
cause	причина, основание 
centimetre	сантиметр
central	центральный
centre	центр
century	столетие, век
certain	определенный, уверенный
certainly	конечно, естественно
challenge	(сложная) проблема
chance	возможность, случай
change	перемена, изменение
character	характер, действующее лицо
characteristic	характерная черта, особенность
charge	плата, цена
chase	гнаться, преследовать
chat	непринужденно болтать, беседовать
cheap	дешевый
cheat	обманывать, надувать
check	контроль, проверка
cheek	щека
cheque	чек
chief	главный, основной
child	ребенок
children	дети
chin	подбородок
choice	выбор, отбор
choose	выбирать 
church	церковь
cinema	кинотеатр
circle	круг, окружность
circumstance	обстоятельство, случай
city	город
claim	требование, претензия
class	класс, группа
classroom	классная комната, аудитория
clean	чистый
clear	чистый, ясный
clearly	ясно, очевидно
clever	умный
climb	карапкаться, лазить
close	закрывать (ся)
closed	закрытый, запертый
closely	близко, вплотную
clothes	одежда
club	клуб
clue	ключ (к разгадке), улика
coat	пальто
coffee	кофе
cold	холодный
collect	собирать, коллекционировать 
collection	коллекция
colour	цвет, оттенок
combination	сочетание, комбинация
combine	соединяться, объединять(ся)
come	приходить, подходить
comfort	комфорт
comfortable	комфортный, удобный
command	команда, распоряжение
comment	комментарий, замечание
commit	совершать (преступление)
common	общее, распространенное
communicate	сообщать, передавать
communication	коммуникация, связь
community	сообщество
company	компания
compare	сравнивать, сверять
compete	состязаться, соперничать
complain	жаловаться, выражать недовольство 
complaint	жалоба, недовольство
complete	полный, укомплектованный
completely	вполне, полностью
complicated	запутанный, трудный для понимания
computer	компьютер
concentrate	сосредоточивать (ся)
concentration	концентрация, сосредоточенность
concern	отношение, беспокойство
concerned	заинтересованный, беспокоящийся
concerning	касательно, относительно
conclusion	умозаключение, вывод
condition	условие 
conduct	сопровождать, сопутствовать
confidence	вера, уверенность
confident	уверенный 
confuse	смешивать, спутывать 
confused	смущенный; озадаченный
confusing	сбивающий с толку
congratulate	поздравлять
congratulations	поздравление
connect	соединять (ся), сочетать (ся)
connected	связанный с кем-л., чем-л.
connection	связь, соединение
consider	рассматривать, считать
considering	учитывая, принимая во внимание
consist	состоять, составлять из (of)
constantly	непрерывно, регулярно
consult	советоваться, консультироваться
contact	контакт, соприкосновение
contain	содержать, вмещать
container	контейнер, емкость
content	содержимое, содержание
contents	содержимое
continue	продолжать (ся), оставаться
contrast	различие, контраст
contribute	способствовать, вносить вклад
control	надзор, контроль
convenient	удобный, близкий
conversation	разговор, беседа
convince	убеждать, уверять 
convinced	убежденный, уверенный 
convincing	убедительный
cook	готовить 
cool	прохладный, свежий
cope	справиться, выдержать
copy	копия
corner	угол
correct	правильный, соответствующий
correction	исправление, корректирование
cost	цена, стоимость, расходы
cough	кашлять
could	прош. вр. от can 
count	считать, подсчитывать
country	страна, деревня
couple	пара, два, двое
course	курс, блюдо
cover	крышка, обложка
crash	грохот, авария, крушение
crazy	ненормальный, псих
create	создавать, порождать
creature	создание, творение
crime	преступление, нарушение
crisis	кризис
criticism	критика
criticize	критиковать
cross	крест
crowd	толпа
crowded	переполненный, битком набитый
cruel	жестокий
cruelty	жестокость
cry	плач
culture	культура
curious	любопытный, любознательный
custom	обычай, таможня
cut	резать
