How is it going?	Как идут дела?
How's life?	Как жизнь?
How are things?	Как оно?
Long time no see!	Давно не виделись!
What are you up to?	Чем занимаешься?
What have you been up to?	Чем занимался все это время?
See you soon!	До скорого!
See you later!	Увидимся позже!
Till next time!	До следующего раза!
Good luck!	Удачи!
Take care!	Береги себя!
Talk to you later!	Поговорим с тобой позже!
Until we meet again!	До новой встречи!
Have a nice day!	Хорошего дня!
Have a good weekend	Хороших выходных
Have a safe trip	Хорошей поездки
Say hi to …	Передавай привет …
Send my love to …	Передавай большой привет … (если речь идет о родственниках или близких людях)
In short / in brief	вкратце
In a word	в двух словах
As far / as to	что касается
Not to mention	не говоря уже о
First of all/ above all	прежде всего
What’s more	кроме того
By the way	кстати
After all	в итоге; все-таки
Just for the record	для справки; чтобы вы знали
And so on and so forth	и так далее
If I’m not mistaken	если я не ошибаюсь
In other words	другими словами
On the contrary	наоборот
The thing is	дело в том, что
So as to / so that	так чтобы
Either way	так или иначе
As a rule	обычно, как правило
As well as	так же, как и
All the same	без разницы
On one hand	с одной стороны
On the other hand	с другой стороны
Such as	например
As I said before	как я уже говорил
Believe it or not, but	верите или нет, но
If I remember rightly / If I recall correctly	если я правильно помню
Perhaps	Возможно, может быть
Of course / Sure	Конечно
Definitely	Определенно, непременно
Absolutely	Безусловно
Naturally	Естественно
Probably	Вероятно
You are right	Вы правы
It can hardly be so	Вряд ли это так
Very well	Очень хорошо
Most likely	Скорее всего
Most unlikely	Вряд ли
Not a bit	Ничуть
I believe so / suppose so	Полагаю, что это так
I doubt it	Сомневаюсь
No way	Ни за что, ни в коем случае
Exactly so	Именно так
Quite so	Вполне верно
I agree with you	Я с вами согласен
I am afraid you are wrong	Боюсь, что вы не правы
I’m afraid so	Боюсь, что так
I’m not sure	Не уверен
I don’t think so	Я так не думаю; вряд ли
In a way / to a certain extent	В каком-то смысле
No doubt	Несомненно
I’m in / I’m game	Я «за» (в ответ на предложение куда-либо сходить или что-либо сделать)
I think I’ll pass	Лучше без меня
Deal!	Идет!
It’s a great idea!	Отличная идея!
Not a very good idea	Не самая хорошая идея
I'm looking forward to it	Жду этого с нетерпением
I’m so sorry!	Мне очень жаль!
I beg your pardon!	Прошу прощения!
I’m sorry, I can’t.	Простите, не могу.
Sorry, I meant well.	Извините, я хотел как лучше.
It’s very kind of you!	Это очень мило с вашей стороны!
Thank you anyway!	В любом случае, спасибо!
Thank you in advance!	Спасибо заранее!
Don’t mention it!	Не стоит благодарности!
May I help you?	Могу ли я вам помочь?
No problem / that’s ok!	Все в порядке!
Don’t worry about it!	Не волнуйтесь об этом!
This way, please!	Сюда, пожалуйста!
After you!	После вас!
What’s the matter?	В чем дело?
What’s going on? / What’s happening?	Что происходит?
What’s the trouble?	В чем проблема?
What’s happened?	Что случилось?
How was it?	Ну как? (Как все прошло?)
Did I get you right?	Я правильно вас понял?
Don’t take it to heart.	Не принимайте близко к сердцу.
I didn’t catch the last word.	Я не понял последнее слово.
Sorry, I wasn’t listening.	Извините, я прослушал.
It doesn’t matter.	Это не имеет значения.
It is new to me.	Это новость для меня.
Let us hope for the best.	Будем надеяться на лучшее.
May I ask you a question?	Можно задать вам вопрос?
Next time lucky!	Повезет в следующий раз!
Oh, that. That explains it.	Вот оно что, это все объясняет.
Say it again, please.	Повторите еще раз, пожалуйста.
So that’s where the trouble lies!	Так вот в чем дело!
Things happen.	Всякое бывает.
What do you mean?	Что вы имеете в виду?
Where were we?	На чем мы остановились?
You were saying?	Вы что-то сказали?
I’m sorry, I didn’t catch you.	Простите, я не расслышал.
Lucky you!	Вам повезло!
Good for you!	Тем лучше для вас! (В этой фразе многое зависит от интонации, часто в ней подразумевается сарказм: «Ну-ну, рад за тебя!»)
I’m so happy for you!	Я так рад за вас! (А вот это говорится абсолютно искренне)
What do you know!	Кто бы мог подумать!
