each	каждый, всякий
eager	страстно желающий, жаждущий 
ear	ухо
early	ранний, рано
earn	зарабатывать, заслуживать
earth	Земля, земля
easy	легкий
eat	есть, кушать
edge	кромка, край
education	образование, обучение
effect	результат, следствие
effort	усилие, попытка
either	любой (из двух), один из двух
else	еще, кроме
embarrassed	смущенный, растерянный
embarrassing	стеснительный, смущающий
emergency	непредвиденный случай
emotion	чувство, эмоция
emphasis	важность, значимость
emphasize	подчеркивать, акцентировать
empty	пустой
encourage	поощрять, поддерживать
end	конец
enemy	враг
energy	энергия, сила
enjoy	получать удовольствие, наслаждаться
enjoyable	приятный
enough	достаточно, достаточный
enter	входить, поступать
entertainment	развлечение
enthusiastic	восторженный, увлеченный
entrance	вход
entry	вход, проход
environment	окружение, окружающая среда
equal	равный, одинаковый
equipment	оборудование, оснащение
error	заблуждение, ошибка
escape	убегать, избегать
especially	особенно, в особенности
estimate	оценка
even	даже
evening	вечер
event	событие
ever	всегда, когда-либо
every	каждый,  любой
everybody	каждый, всякий (человек), все
everyone	каждый, всякий (человек), все
everything	всё 
everywhere	везде, всюду
evidence	доказательство, основание
exact	точный
exactly	точно
exaggerate	преувеличивать
exam	экзамен
example	пример
excellent	отличный
except	исключая, кроме
exchange	обмен
excited	взволнованный, напряженный 
exciting	возбуждающий, волнующий
excuse	извинение
exercise	упражнение, тренировка
exhibition	выставка
exist	существовать, иметься в природе
exit	выход
expect	ожидать, надеяться
expensive	дорогой
experience	(жизненный) опыт, опыт работы
experiment	опыт, эксперимент
explain	объяснять, разъяснять
explanation	пояснение, разъяснение
exploration	исследование, изучение
expression	выражение, выражение (лица)
extra	добавочный, дополнительно
extraordinary	необычный, чрезвычайный
extremely	чрезвычайно, крайне
eye	глаз
