race	гонка, раса
radio	радио
rain	дождь
rain	идти, литься (о дожде)
raise	поднимать, собирать
range	ряд, линия
rank	звание, чин
rare	редкий, нечастый
rarely	нечасто, редко
rate	показатель, степень, темп
rather	достаточно, весьма
raw	сырой, необработанный
reach	добираться до, протягивать
react	реагировать, отзываться
reaction	реакция
read	читать
ready	готовый
real	реальный
realize	понимать, осознавать
really	действительно, в самом деле
reason	причина, смысл
reasonable	разумный, благоразумный
receive	получать
recent	недавний, последний
recently	недавно
recognize	признавать, узнавать
recommend	рекомендовать
record	запись, рекорд
record	записывать
recover	выздоравливать, восстанавливать(ся)
recovery	выздоровление, восстановление
reduce	понижать, сокращать
reduction	сокращение, понижение
refer	упоминать
refuse	отказать (ся), отклонять
regard	внимание, уважение
region	область, регион
regional	бластной, районный, региональный
regret	сожалеть
regular	регулярный, правильный
regularly	регулярно
reject	отклонять, отказывать (ся)
related	связанный, родственный
relation	связь, родственник
relationship	родство, взаимоотношение
relative	родственник; родственница
relax	расслабляться, отдыхать
release	освобождать (ся),  отпускать
reliable	надежный, верный
relief	облегчение
rely	полагаться, зависеть
remain	оставаться, находиться
remark	замечание, высказывание
remember	помнить, вспоминать
remove	перемещать, снимать
rent	брать в аренду, сдавать в аренду
repair	ремонтировать, чинить
repeat	повторять
replace	заменять, замещать
reply	отвечать, отзываться
reply	ответ, отклик
report	доклад, отчет
report	сообщать, докладывать
represent	представлять, изображать
rescue	спасать
reserve	резервировать, сберегать
respect	уважение
respect	уважать
responsibility	ответственность
responsible	ответственный
rest	остаток, отдых
rest	отдыхать, опираться
result	результат
return	возвращаться
rich	богатый
rid	освобождать, избавлять
ride	ехать
right	право, правда
right	правый, правильный
right	правильно
ring	кольцо, круг
ring	звонить, звенеть
rise	подниматься
risk	риск
risk	рисковать
road	дорога
rob	грабить, воровать
roll	катить (ся),  вращаться
roof	крыша
room	комната
rough	грубый
round	круглый
round	вокруг, кругом
row	ряд, линия
rub	тереть (ся)
rubbish	мусор, ерунда
rule	правило
run	бег
run	бежать
run away	убежать
run into	наталкиваться, сталкиваться
. run out 	кончаться
run over	переехать, задавить
rush	спешка, суета
rush	мчаться, торопить
