unable	неспособный
uncertain	неопределенный, неуверенный
uncomfortable	неудобный
under	вниз, ниже, под
under	при, под
underneath	вниз, внизу, ниже
underneath	вниз, внизу, ниже, под
understand	понимать
undo	развязывать, расстегивать
unfair	несправедливый
unfortunate	неудачливый, несчастливый
unhappy	несчастливый, несчастный
uniform	форма, форменная одежда
union	объединение, союз
unit	часть, единица измерения
unite	соединять (ся), объединять (ся)
university	университет
unkind	злой, недобрый
unless	если не, пока не
unlikely	маловероятный, невероятно
unlucky	несчастливый, неудачный
unpleasant	неприятный, противный
until	до, (до тех пор) пока (не)
unusual	необычный, редкий
up	вверх, наверх, наверху, на
upon = on	на
upset	расстроенный, огорченный
upstairs	вверх, наверху, в верхнем этаже
upwards	снизу – вверх, наверх
urgent	срочный, неотложный
us	нас
use	употребление, использование
use	использовать, пользоваться
used	подержанный, использованный
usual	обыкновенный, обычный
usually	обычно
