habit	обычай, привычка
hair	волосы
half	половина
hand	рука (кисть), стрелка (часов)
handle	управлять, регулировать, трогать
hang	вешать, висеть
happen	случаться, происходить
happy	счастливый, довольный
hard	жесткий, твердый
hard	активно, упорно
hardly	вряд ли, почти не, едва
harm	вред; зло
hate	ненавидеть
he	он
have	иметь
head	голова
health	здоровье
healthy	здоровый
hear 	слышать, услышать
heart	сердце
heat	жара, тепло
heavy	тяжелый
height	высота, рост
hello	привет!
help	помогать
her	ее
here	здесь
hers	ее
herself	сама, себя
hide	прятать (ся), скрывать (ся)
high	высокий
high	высоко
him	ему, его
himself	сам, себя
his	его
history	история
hit	хит, попдание
hit	ударять, попаать
hold	захвт, рукоятка
hold	дерать
hold on	подождать
hold out	протягивать, предлагать
hold up	останавливать, грабить
hole	дыра
holiday	праздник, отпуск
hollow	пустой, впалый
home	дом
home	дома
honest	честный
hope	надежда
hope	надеяться
hospital	больница
hot	горячий, острый
hour	час
house	дом
how	как
however	однако, тем не менее
human	людской, человеческий
hungry	голодный
hurry	суета, спешка
hurry	торопить (ся), подгонять
hurt	ранить, обижать
hurt	раненый
