ability	способность, возможность
able	знающий, умелый, способный
about	кругом, повсюду, приблизительно
about	о, насчет, на тему, касательно
above	наверху, вверху, выше, над
abroad	за границей, за границу
absolutely	совершенно, безусловно
accept	принимать, соглашаться, признавать
acceptable	приемлемый; допустимый
accident	несчастный случай, авария
accidental	случайный
accidentally	случайно, нечаянно
accommodation     	помещение, жилье
according to	в соответствии с, согласно
account	счет, расчет, подсчет
achieve	добиваться, достигать
achievement	достижение, успех
across	поперек, сквозь, через
act	действовать, поступать
action	действие, поступок
active	активный, деятельный
activity	деятельность
actual	фактический, реальный
actually	фактически, на самом деле
add	прибавлять, присоединять
address	адрес, обращение, речь
address	адресовать, направлять
adjective	имя прилагательное
admire	любоваться, восхищаться
admit	допускать, соглашаться
advanced	передовой, продвинутый
advantage	преимущество
advice	совет
advise	советовать, советоваться
affect	 (воз)действовать, влиять
afford	быть в состоянии, предоставлять
afraid	испуганный
after	за, позади
after	после, потом
afternoon	время после полудня
afterwards	впоследствии, позднее
again	еще, вновь, опять
against	прямо напротив, лицом к
age	возраст
ago	тому назад
agree	соглашаться
agreement	согласие, соглашение
ahead	вперед; впереди
aim	намерение, цель
aim	домогаться, стремиться
air	воздух, атмосфера
alive	живой
all	весь, вся, все, целый
allow	позволять, разрешать
almost	почти; едва не
alone	единственный, одинокий, одиноко
along	вдоль, по
along	в том же направлении
already	уже
also	тоже, также, к тому же
although	хотя, несмотря на то, что
always	всегда, неизменно
among	между, посреди, среди
amount	величина, количество
and	и, а, но
angry	рассерженный, сердитый,
announce	объявлять, извещать
another	другой, еще один (такой же)
answer	ответ
answer	отвечать, откликаться
anxious	озабоченный, беспокойный
any	всякий, какой-нибудь, любой, никакой
any	нисколько, сколько-нибудь, ничуть
anybody 	кто-нибудь, никто, любой
anyone	кто-нибудь, никто, любой
anything	что-нибудь, ничто, ничего
anyway = anyhow	так или иначе, как-нибудь, все равно
anywhere	где-нибудь, куда-нибудь, никуда, везде
apart	в стороне, отдельно, отлично от
apologize = apologise	извиняться, просить прощения
apparently	очевидно, по-видимому
appeal	призыв, обращение, привлекательность
appeal	обращаться, взывать (to - к)
appear	показываться, появляться
appearance	внешность, появление
apply	обращаться(с просьбой), применять(ся)
approval	одобрение, утверждение
approve	одобрять (что-л.- of), утверждать
area	площадь, участок, пространство
argue	спорить
argument	довод, аргумент
arm	рука (от кисти до плеча)
around	всюду, кругом, повсюду, вокруг
arrange	приводить в порядок, расставлять
arrangement	размещение, расположение
arrival	прибытие (at, in; from)
arrive	прибывать
art	искусство
artificial	искусственный, ненатуральный
as	в качестве, как, как например, т.к.
ashamed	пристыженный
ask	спрашивать, просить
attach	прикреплять, прилагать
attempt	попытка, проба, опыт
attempt	пытаться, стараться, стремиться
attention	внимание, внимательность
attitude	позиция, отношение
attract	привлекать, притягивать
attractive	заманчивый, привлекательный
authority	власть, полномочие, авторитет
autumn	осень
available	доступный, (при)годный, полезный
average	среднее, средний
avoid	избегать, остерегаться, уклоняться
awake	не спящий, проснувшийся
aware	знающий, осведомленный
away	прочь, вдали
