label	ярлык, этикетка
land	земля, суша, почва
land	приземляться, высаживать (на берег)
language	язык
large	большой, крупный
last	последний, прошлый
last	длиться, сохраняться
late	поздний, последний, поздно
later	более поздний
later	позже
laugh	смех
laugh	смеяться, рассмеяться
law	закон
lay	класть, положить
lead	преимущество, поводок (для собаки)
lead	вести, сопровождать, управлять
lean	наклонять (ся), опирать (ся)
learn	учиться, учить (что-л.)
least	наименьший, наименее
leave	покидать, оставлять
left	левый
left	налево, слева
left	левая сторона
leg	нога (от бедра до ступни), ножка
legal	легальный, законный
lend	одалживать, давать взаймы
length	длина, расстояние
less	меньше, менее
lesson	урок
let	позволять, разрешать, сдавать внаем
letter	письмо, буква
level	уровень, степень
level	плоский, ровный
lie	лежать
life	жизнь
lift	поднимать (ся)
light	свет, лампа
light	светлый, легкий
light	загораться, освещать
like	любить, нравиться
like	подобный, похожий
likely	вероятный, возможный
limit	граница, предел
limit	ограничивать, ставить предел
line	линия, очередь, веревка
list	список, перечень
listen	слушать
listen for	прислушиваться
little	маленький
little	мало, немного
live	жить
live	живой
load	груз
load	грузить, загружаться
loan	заем, ссуда
lock	замок, локон
lock	запирать ключом, блокировать
lonely	одинокий
long	длинный
long	долго, длительно
look	смотреть, следить
look after	присматривать, ухаживать за
look around	осматривать
look back (on)	оглядываться
look up	искать (что-л. в справочнике)
loose	свободный, неупакованный
lose	терять, проигрывать
loss	потеря, гибель
lost	разрушенный, потерянный
lot	много
loud	громкий, шумный
love	любовь
love	любить
low	низкий
lower	нижний, низший
luck	везение, удача, успех
lucky	счастливый, удачный
lunch	обед, ленч
