sad	грустный, печальный
safe	безопасный
safety	безопасность, сохранность
sail	плавать, совершать плавание
sale	продажа, распродажа
same	тот (же) самый, одинаковый
satisfactory	удовлетворительный, достаточный
satisfied	удовлетворенный, довольный
save	спасать, охранять
say	сказать, говорить
scale	вес, шкала, масштаб
scare	пугать
scared	испуганный
scene	сцена, пейзаж
schedule	список, перечень
scheme	проект, план
school	школа
science	наука
score	счет
score	выигрывать
scrap	клочок, кусочек
scrape	скоблить, обдирать, царапать
scream	кричать, вопить
scream	крик
sea	море
search	поиск, розыск
search	искать, разыскивать
season	сезон, время года
seat	сиденье, место
second	второй
second	секнда
secret	секрет, тайна
secret	секретный, тайный
section	секция
see	видеть
seem	казаться
sell	продавать
send	посылать, отправлять
sense	чувство, смысл
sensible	благоразумный, здравомыслящий
sensitive	чувствительный, впечатлительный
sentence	предложение, приговор
separate	отдельный
separate	разделять, расставаться
serious	серьезный, важный
seriously	серьезно, обоснованно
serve	подавать, обслуживать, служить
service	служба, сервис
set	набор, комплект
set	ставить, класть, устанавливать
settle	1525. улаживать,поселить(ся), устроить(ся)
several	1526. несколько
shade	1527. тень, полумрак
shadow	1528. тень
shake	1529. трясти (сь), встряхивать
shall	1530. следует
shallow	1531. мелкий, мелководный
shame	1532. стыд
shape	1533. форма, очертание
share	1534. делить (ся), разделять
share	1535. доля, часть
sharp	1536. острый, резкий
she	1537. она
shelter	1538. приют, убежище
shine	1539. сиять, светить (ся), блестеть
shock	1540. удар, толчок, шок
shock	1541. потрясать, шокировать
shoot	1542. стрелять
shop	1543. магазин
shop	1544. делать покупки
shopping	1545. посещение магазина
short	1546. короткий, низкий
should	1547. выражает долженствование
shoulder	1548. плечо
shout	1549. крик
shout	1550. кричать
show	1551. показывать, демонстрировать
show	шоу, показ
shrink	уменьшать (ся), сокращать (ся)
shut	закрывать (ся)
shut	закрытый
sick	больной
side	сторона
side	боковой
sight	вид, зрение, достопримечательность
sign	знак; символ
sign	подписывать (ся)
silent	молчаливый, тихий
similar	подобный, похожий
simple	простой, легкий
since	с тех пор
sing	петь
single	единственный, отдельный
sink	тонуть, погружаться, опускаться
sink	раковина
sister	сестра
sit	сидеть, садиться
situation	положение, ситуация
size	размер
skill	умение, навык
skin	кожа, кожура
skirt	юбка
sky	небеса, небо
sleep	спать
sleep	сон
slice	ломтик
slice	нарезать ломтиками
slide	скользить, засовывать
slight	легкий, незначительный
slightly	незначительно, несущественно
slip	поскользнуться
slow	медленный
slowly	медленно
small	маленький
smart	нарядный, шикарный
smell	пахнуть, нюхать
smell	запах, обоняние
smile	улыбаться
smile	улыбка
smoke	дым
smooth	гладкий, ровный
snow	снег
snow	идти (о снеге)
so	итак, это, так
so	так, таким образом, также
soak	впитывать (ся)
soft	мягкий, нежный
software	компьютерные программы
soil	грунт, почва
solve	решать, разрешать
some	какой-либо, какой-нибудь, несколько
somebody	кто-нибудь, кто-то
somehow	так или иначе, как-нибудь
someone	кто-нибудь, кто-то
something	кое-что, что-нибудь, что-то
sometimes	иногда
somewhere	где-то, где-нибудь, куда-нибудь
song	песня
soon	скоро, вскоре
sore	боль
sorry	огорченный, сожалеющий
sort	вид, сорт, тип
sort	сортировать, классифицировать
sound	звук
sound	звучать
space	пространство, космос
spare	запасной, лишний
speak	говорить, разговаривать
special	особый, специальный
speech	речь
speed	скорость
spend	тратить, проводить
spill	проливать (ся), рассыпать (ся)
spin	крутить (ся), вертеть (ся)
spite	злость
splash	брызгать (ся), плескать (ся)
split	раскалывать (ся), разделять (ся)
spoil	портить (ся),  баловать
sport	спорт
spot	место, пятно
spray	брызгать, распылять
spread	распространять (ся), простираться
spring	весна
spring	отскочить, распрямиться
square	квадрат, площадь
square	квадратный
squash	раздавливать, сжимать
squeeze	выжимать (ся), выдавливать
stage	ступень, сцена
stamp	марка, штамп
stamp	топать ногой, штамповать
stand	стоять
standard	стандарт
star	звезда
stare	вглядываться, уставиться
start	начало
start	начинать
state	состояние, государство
statement	заявление, утверждение
stay	оставаться, останавливаться
steady	устойчивый, постоянный
steal	воровать, красть
steam	пар
steep	крутой
steer	направлять, управлять
step	шаг, след
stick	приклеивать (ся), втыкать
sticky	клейкий, липкий
stiff	жесткий, плотный
still	до сих пор, все еще, по-прежнему
still	тихий, неподвижный
sting	жалить
stir	размешивать, шевелить (ся)
stone	камень
stop	остановка
stop	останавливать (ся)
store	магазин, склад, запас
store	запасать, хранить
storm	шторм, гроза
story	рассказ, история
straight	прямой
straight	прямо
strange	странный, незнакомый
stranger	незнакомец
street	улица
strength	сила, прочность
stretch	тянуть (ся), растягивать (ся)
strict	строгий
strike	ударять (ся)
strike	забастовка
string	веревка, шнурок
strong	сильный
study	изучать, заниматься
study	изучение, исследование, кабинет
stupid	глупый, тупой
style	стиль
subject	предмет, тема
substance	вещество, субстанция
succeed	удаваться
success	успех, достижение
successful	удачный, успешный
such	такой
sudden	внезапный, неожиданный
suddenly	вдруг, внезапно
suffer	страдать
suggest	предлагать, советовать
suggestion	предложение, совет
suit	костюм
suit	подходить
summer	лето
supply	поставка, предложение
support	поддерживать
suppose	допускать, полагать
sure	уверенный
sure	конечно, безусловно
surface	поверхность
surprise	сюрприз, удивление
surprised	удивленный
surprising	неожиданный, внезапный
survive	пережить, выжить
swallow	глотать
sweep	мести, выметать
sweet	сладкий
swim	плавать
swimming	плавание
swing	качать (ся)
switch	выключатель
switch	переключать
system	система
