pain	боль, страдание
pair	пара
paper	бумага
part	доля, часть
part	расставаться, разделяться
partner	партнер, супруг (а)
party	вечеринка, партия
pass	проходить, проезжать, передавать
passage	проход, коридор, пассаж
passenger	пассажир
past	прошлое, прошедшее
past	прошлый, прошедший
past	мимо
path	тропинка, дорожка
patience	терпение
patient	терпеливый
pattern	модель, система
pause	пауза
pause	останавливаться
pay	плата, заработная плата
pay	платить
payment	платеж, оплата
peace	мир
peaceful	мирный, миролюбивый
pen	ручка
pencil	карандаш
people	люди
perfect	совершенный
perform	выполнять, выступать
performance	выступление, выполнение
perhaps	может быть, возможно
period	период
permission	позволение, разрешение
person	человек, личность
personal	личный
persuade	убеждать
petrol	бензин
phone	телефон
phone	звонить по телефону
physical	физический, материальный
pick	выбирать, срывать (плоды), ковырять
picture	картина, рисунок
piece	кусок, часть
pile	куча, кипа
pin	кнопка, гвоздь
pinch	щипать, красть
pipe	труба, трубопровод
pity	жалость
place	пространство, место, площадь
plain	чистый, одноцветный, понятный
plan	план
plan	планировать
plant	растение, завод
plastic	пластик, пластмасса
plate	тарелка
platform	платформа, трибуна
play	пьеса, игра
play	играть
pleasant	приятный, радостный
please	пожалуйста!
please	радовать, угождать
pleased	довольный
pleasure	удовольствие
plenty	множество, избыток
plenty	вполне, довольно
pocket	каман
point	точка, цель, место
point	указывать, показывать
poison	яд
police	полиция
polite	вежливый
politics	политика
pollution	загрязнение
pool	бассейн, лужа
poor	бедный
popular	популярный
port	порт
position	положение, место
positive	уверенный, позитивный
possession	владение, обладание
possibility	вероятность, возможность
possible	вероятный, возможный
possibly	возможно, может быть
post	почта
post	посылать по почте
pot	горшок, банка
pour	лить, наливать
power	сила
powerful	сильный, крепкий
practical	практический, практичный
practice	практика
practise	практиковать (ся), тренироваться
praise	хвалить
precise	точный, определенный
prefer	предпочитать
preparation	подготовка, приготовление
prepare	готовить, подготавливать
present	подарок
present	преподносить, дарить (with)
present	присутствующий, настоящий
press	пресса
press	нажимать, сжимать
pressure	давление, воздействие
pretend	притворяться
pretty	хорошенький, симпатичный
pretty	достаточно, довольно
prevent	предотвращать, мешать
previous	предыдущий, предшествующий
price	цена
pride	гордость
principle	принцип
print	печатать
priority	преимущество, приоритет
private	частный
prize	приз, премия
probably	вероятно, наверное
problem	проблема
process	процесс
produce	производить, создавать
production	изготовление, продукция
professional	профессиональный
profit	прибыль
programme	программа
progress	прогресс
project	проект
promise	обещание
promise	обещать
pronounce	произносить, заявлять
pronunciation	произношение
proof	подтверждение, доказательство
proper	присущий, правильный
properly	должным образом, надлежаще
protect	защищать, охранять
protection	защита, охрана
protest	протест, несогласие
protest	протестовать, возражать
proud	гордый
prove	доказывать, оказываться
provide	снабжать, обеспечивать
public	общественный, государственный
public	публика, общественность
pull	тянуть, дергать
pump	качать, выкачивать
punish	наказывать, штрафовать
punishment	кара, наказание
pupil	ученик
pure	чистый, беспримесный
purpose	цель, намерение
push	толкать (ся)
put	класть, положить
