machine	машина, механизм
mad	сумасшедший, ненормальный
mail	почта
main	главный, основной
mainly	главным образом, преимущественно
maintain	поддерживать, удерживать
major	более важный, больший
majority	большинство
make	делать, создавать
make into	переделывать, превращать во (что-л.)
make up	выдумывать
male	самец
male	мужской, мужского пола
man	человек, мужчина
manage	руководить, управлять
manner	манера, способ, метод
many	много
march	маршировать, вышагивать (нервно)
mark	знак, пятно, оценка
mark	отмечать, обозначать
market	рынок
married	женатый, замужняя
marry	жениться  или выходить замуж
mass	масса, множество
match	спичка, матч
match	подходить, соответствовать
material	материал
matter	дело, вопрос, причина
matter	иметь значение, значить
maximum	максимальный
may	мочь (разрешение)
maybe	может быть
me	меня, мне
meal	прием пищи, еда
mean	неприятный, противный
mean	иметь в виду, значить, думать
meaning	значение, смысл
means	средство, способ, метод
meanwhile	тем временем, между тем
measure	мера, мероприятие
measure	измерять, иметь размер
medium	средний, промежуточный
meet	встречать (ся), знакомиться
meeting	встреча, собрание
memory	память
mend	чинить, ремонтировать
mention	упоминать
mess	беспорядок, неприятность
mess	производить беспорядок
message	сообщение, основная тема
method	метод, способ
middle	середина
middle	средний, центральный
might	мочь (прош. вр. от may)
mind	возражать, иметь что-л. против
mind	ум, мнение, воспоминание
mine	мой, моя, мое
mine	шахта, мина
minimum	минимум, минимальное количество
minimum	минимальный
minor	незначительный, несущественный
minority	меньшинство
minute	минута
miss	скучать, пропустить, не попасть
miss	промах, неудача, отсутствие
mistake	ошибка
mistake	ошибаться
mix	смешивать (ся), соединять
mixture	смешивание, смесь
model	модель, макет
modern	современный
moment	момент, мгновение
money	деньги
month	месяц
mood	настроение
moon	луна
moral	моральный, нравственный
more	больше, еще
morning	утро
most	больше  всего, почти все
mother	мама
motion	движение
mouth	рот
move	движение, развитие
move	двигать (ся), переезжать
movement	движение, передвижение
much	много, очень
murder	убийство
murder	убивать
muscle	мускул, мышца
music	музыка
must	должен, обязан
my	мой, моя, мое
myself	себя, себе, сам
mysterious	таинственный, загадочный
mystery	тайна, загадка
