I	я
idea	идея
identify	опознавать, идентифицировать
if	если
ignore	игнорировать, пренебрегать
ill	больной
illness	болезнь
image	образ, имидж
imagination	воображение; фантазия
imagine	воображать, представлять себе
immediate	немедленный
immediately	немедленно, сразу
impatient	нетерпеливый
importance	важность, значимость
important	важный
impossible	невозможный, невыполнимый
impressed	пораженный
impression	впечатление
impressive	впечатляющий, выразительный
improve	улучшать (ся), совершенствовать (ся)
improvement	улучшение, усовершенствование
in	в, во
in	внутри, внутренний
include	заключать, включать в себя
increase	возрастание, рост
increase	возрастать, увеличивать (ся)
indeed	в самом деле, действительно
independent	независимый, самостоятельный
influence	влияние, действие
influence	влиять, воздействовать
inform	сообщать, информировать
information	информация
injury	вред, рана
innocent	невинный, непорочный
inquire	осведомляться, узнавать
inside	внутренний, внутри
insist	настаивать, утверждать
instant	мгновенный, растворимый
instead	вместо, взамен
instruction	инструкция, правило
instrument	инструмент, прибор
intelligent	сообразительный, понятливый
intend	планировать, предназначаться
interest	интерес
interested	заинтересованный, интересующийся
interesting	интересный
interfere	вмешиваться, повлиять
interrupt	прерывать, прекращать
interruption	перерыв, пауза
interview	беседа, интервью
interview	интервьюировать
into	в (о), на
introduce	знакомить, представлять
introduction	введение, представление
invitation	приглашение
invite	приглашать, звать
involve	вовлекать, вмешивать
issue	вопрос (проблема), выпуск
it	это, он, она, оно
its	его, ее
Itself	себя, сам, сама, само
