wait	ждать
wake	просыпаться, будить
walk	прогулка
walk	гулять, идти (пешком)
wall	стена
wander	бродить, блуждать
want	хотеть
war	война
warm	теплый
warn	предупреждать, предостерегать
warning	предупреждение, предостережение
wash	мыть (ся), стирать
wash	мытье, мойка, стирка
waste	тратить
waste	излишняя трата, отбросы
watch	наблюдать, смотреть
watch	часы (наручные), наблюдение
water	вода
wave	махать, колыхаться
wave	волна, взмах
way	дорога, путь, направление
we	мы
weak	слабый
wealth	богатство
wear	носить (одежду)
weather	погода
week	неделя
weekend	выходные дни, уикэнд
weigh	весить, взвешивать (ся)
welcome	желанный, долгожданный, приятный
welcome	приветствовать
well	хорошо
well	здоровый
wet	мокрый
what	что
whatever	все что, что бы ни
wheel	колесо
when	когда
whenever	всякий раз когда,  когда бы ни
where	где, куда, откуда
wherever	где бы ни, куда бы ни
whether	ли, или
which	который, какой
whichever	какой угодно, какой бы ни
while	пока,  в то время как,  хотя
whisper	шептать
whistle	свистеть
whistle	свисток
who	кто
whoever	кто бы ни,  который бы ни,  любой
whole	весь, целый,  в целом
whom	кого, кому
why	почему
wide	широкий
wide	широко
wild	дикий
will	завещание
will	выражает обещание, намерение
willing	готовый (сделать что-л.)
win	победить, выиграть
wind	ветер
wind	виться, изгибаться, заводить
window	окно
wing	крыло
winter	зима
wipe	вытирать, стирать
wire	проволока, провод
wise	мудрый, благоразумный
wish	желание
wish	желать, хотеть
with	с
within	внутри, в пределах
without	без
woman	женщина
wonder	удивляться, интересоваться
word	слово
work	работа
work	работать, производить
work on	продолжать работать
work out	решать, разрабатывать
work up to	отрабатывать
world	мир
worried	озабоченный
worry 	беспокоить (ся)
worse	худший
worst	наихудший
worth	стоящий
worth	цена, стоимость
would	выражает желание
wrap	заворачивать,  завертывать
write	писать
wrong	неправильный, неверно
