face	лицо
fact	обстоятельство, факт
factory	завод, фабрика
fail	потерпеть неудачу, не сбыться
failure	неспособность, несостоятельность
fair	честный, справедливый, светлый
fairly	должным образом, довольно
fall	падение
false	неверный, ошибочный
familiar	хорошо знакомый, привычный
family	семья
famous	знаменитый, известный
far	далеко
fashion	мода
fast	быстрый, скорый
fasten	прикреплять, застегивать (ся)
fat	толстый, упитанный
father	отец
fault	недостаток, неисправность
favour	одолжение, услуга
favourite	любимый
fear	боязнь,  страх
feature	особенность, характерная черта
feed	кормить
feel	чувствовать, ощущать
feeling	ощущение, чувство
female	самка,  женская особь
fence	забор
fetch	принести, добиваться
few	мало, немного, несколько
field	поле
fierce	свирепый, лютый
fight	драться, сражаться
figure	цифра, фигура
file	папка, досье
fill	667. наполнять (ся)
film	фильм
final	завершающий, заключительный
finally	наконец, в конце концов
find	находить
fine	превосходный, тонкий
finger	палец (на руке)
finish	заканчивать, завершать
fire	огонь, пожар
firm	твердый, стойкий
first	первый, сначала
fit	подходить, соответствовать
fix	ремонтировать, устанавливать
flat	плоский, ровный
flavour	вкус, аромат
flight	полет
float	плавать, держаться на  воде
flood	заливать, затоплять
floor	пол, этаж
flow	течение, поток
fly	летать
fold	загибать, складывать
follow	следовать, следить
fond	нежный, любящий
food	пища, еда
foot	ступня, подножие
for	для, в течение
force	сила
foreign	иностранный; заграничный
forever	навсегда, всегда
forget	забывать
forgive	прощать
fork	вилка
form	форма, вид, класс (в школе)
formal	официальный, формальный
fortunate	счастливый, удачливый
fortunately	к счастью
forward	вперед, спереди
frame	рама, оправа, каркас
free	свободный, бесплатный
freedom	свобода
freeze	замораживать, замерзать
frequent	частый
fresh	свежий
friend	друг
friendly	дружественный
frighten	пугать
frightened	испуганный
from	от, из, с
front	передняя сторона чего-л
full	полный
fun	шутка, веселье
funny	забавный, смешной
furniture	мебель
further	дальше, дальнейший
future	будущее
