game	игра
gap	щель, промежуток
gas	газ
gate	ворота
gather	собирать (ся)
general	главный, основной
generally	обычно, как правило
generous	щедрый, великодушный
gentle	ласковый, нежный
genuine	истинный, реальный
get	получить
gift	подарок
give	давать, дарить
glad	довольный, рад
glass	стекло, стакан
go	идти, ходить
good	хороший
goodbye	до свидания!
government	правительство
grade	степень, класс, сорт
gradually	постепенно
grand	большой, замечательный
grateful	благодарный, признательный
great	большой, огромный
greeting	приветствие
ground	земля
group	группа
grow	расти, вырастать
guard	охрана, защита
guess	предположение, догадка
guide	вести, руководить
guilty 	виновный, виноватый
