table	стол
take	брать
take away	убирать, отнимать
take back	отдавать, возвращать
take off	снимать одежду, взлетать
take out	вынимать, брать с собой
take over	принимать дела от другого
talk	разговор, беседа
talk	разговаривать, болтать
talk back	спорить, возражать
talk into	уговорить, убедить
talk out of	отговорить, разубедить
tall	высокий
tap	(по) стучать, (по) хлопать
tap	кран
tape	 (магнитная) лента
target	цель, мишень
task	задание, задача
taste	вкус
taste	пробовать (на вкус)
tax	налог, пошлина, сбор
teach	преподавать, обучать
team	команда
tear	рвать (ся), отрывать (ся)
telephone	телефон
television	телевизор
tell	говорить, рассказывать
temper	характер, настроение
temperature	температура
tend	иметь тенденцию, стремиться
tense	возбужденный, напряженный
term	срок, семестр
terrible	страшный, ужасный
test	тест, проверка
test	испытывать, тестировать
than	чем
thank	благодарить
thanks	спасибо
thank you	спасибо
that	тот, та, то, те
that	так, до такой степени
the	определенный артикль
their	их
theirs	их
them	им, их
themselves	себя, себе, сами
. then	затем, потом
there	там, туда
there	есть, имеются
they	они
thick	толстый, густой
thin	тонкий, редкий
thing	вещь, предмет
think	думать, полагать
think of	подумать, предполагать
think over	обдумывать
think through	продумывать
thirsty	испытывающий жажду
this	этот, эта, это
this	данный
thorough	тщательный, исчерпывающий
though	хотя, однако
thought	мысль, размышление
threaten	угрожать
through	через, сквозь, насквозь
through	свободный
throughout	по всему,  повсюду; все время
throw	бросать, кидать
thumb	большой палец (руки)
ticket	билет
tidy	аккуратный, опрятный
tidy	убирать, приводить в порядок
tie	связывать, привязывать
tight	тесный, тугой
time	время
tip	кончик, чаевые
tip	наклонять (ся), опрокидывать
tired	усталый
to	приинфинитивная частица
to	к, в, на, до
today	сегодня, в наши дни
together	вместе
tomorrow	завтра
tone	тон, звук
tongue	язык
tonight	сегодня вечером
too	слишком, тоже
tool	 (рабочий) инструмент
tooth	зуб
top	верхушка, верх, крышка
top	верхний, основной
total	абсолютный, весь, всеобщий
total	целое, сумма, итог
touch	прикосновение, касание
touch	прикасаться, трогать
tough	жесткий, трудный, выносливый
tour	путешествие, экскурсия
towards	по направлению к, по отношению к
town	город
track	тропинка, трек
trade	торговля
trade	торговать
tradition	традиция
traffic	движение, транспорт
tragedy	несчастье, трагедия
train	поезд
train	тренировать (ся), обучать (ся)
translate	переводить
transparent	прозрачный, просвечивающий
transport	перевозка, транспорт
trap	капкан, ловушка, обман
trap	задерживать, останавливать
travel	путешествовать
tread	наступать, топтать
treat	обращаться, относиться, лечить
treat	радость, удовольствие
treatment	лечение,обращение
trial	судебный процесс, суд
trick	обман, хитрость
trick	обманывать, надувать
trip	путешествие, поездка
trip	спотыкаться, ставить подножку
trouble	беспокойство, неприятность
trousers	брюки, штаны
true	верный, правильный
trust	верить, доверять (ся)
trust	вера, доверие
truth	правда
try	пытаться, стараться
tune	мелодия
turn	очередь, поворот
turn	поворачивать (ся)
turn away	прогонять, не пускать
turn back	обернуться, возвращаться
turn down	убавить, отказывать
turn into	превращать во (что-л.)
turn off	сворачивать, выключать
turn on	включать
turn out	оказаться, выключать
turn over	переворачивать (ся), переключить
turn up	усиливать, увеличивать, находить
twist	крутить, сплетать (ся), обхватывать
type	тип, класс, род
typical	типичный
